Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
MCD,NYSE,160847111570,215.87,1.83507878,3.89,2639146,32.35545516,205000,Consumer Services
XOM,NYSE,192215335799.99997,45.46,1.11209964,0.5,28628224,57.79663196,74900,Energy Minerals
AAPL,NASDAQ,2221516765000,132.05,0.86312252,1.13,105158245,40.07591527,147000,Electronic Technology
MSFT,NASDAQ,1660437010000,219.62,0.60928123,1.33,22956206,35.21374415,163000,Technology Services
AMZN,NASDAQ,1596922907700,3182.7,0.649556,20.54,3537744,92.60432835,798000,Retail Trade
GOOG,NASDAQ,1222443831460,1807.21,1.11679955,19.96,2051002,35.68861199,118899,Technology Services
GOOGL,NASDAQ,1216098955580,1797.83,1.32387254,23.49,1774226,35.43081931,118899,Technology Services
TSLA,NASDAQ,834171838020,880.02,7.84030195,63.98,75055528,1630.7753797,48016,Consumer Durables
FB,NASDAQ,762117947449.5599,267.57,-0.43536504,-1.17,18528251,30.60332066,44942,Technology Services
TSM,NYSE,629746000000,118.69,-2.25644404,-2.74,18976772,38.3628724,51297,Electronic Technology
BABA,NYSE,613909000000,236.19,4.09431468,9.29,34884935,32.86548183,117600,Retail Trade
BRK.A,NYSE,550289997542.6678,352039,0.55700122,1950,243,15.51537848,391500,Finance
BRK.B,NYSE,548736225780,234.03,0.49381656,1.15,4850601,15.48126334,391500,Finance
V,NYSE,503566792411.9525,215.45,0.76703615,1.64,6513279,44.90391683,20500,Finance
JNJ,NYSE,421311701600,160.04,-0.20577415,-0.33,8228938,25.19916406,132200,Health Technology
WMT,NYSE,414858792700,146.63,-0.01363791,-0.02,8159400,21.17016977,2200000,Retail Trade
JPM,NYSE,414616164000.0001,136.02,0.11039965,0.15,12035126,17.73204218,256981,Finance
MA,NYSE,352761877280.4,353.85,1.14045618,3.99,3371500,52.50393937,18600,Finance
UNH,NYSE,344792063190,363.39,-0.44927814,-1.64,2948002,20.9699379,325000,Health Services
PG,NYSE,344145071900,138.79,-0.0432121,-0.06,7448475,26.54621929,99000,Consumer Non-Durables
NVDA,NASDAQ,328732330000.0001,531.07,-0.50397182,-2.69,7313215,87.23991959,13775,Electronic Technology
DIS,NYSE,323516458100,178.69,0.06159704,0.11,7894454,,203000,Consumer Services
HD,NYSE,289702294000,269.09,1.06287088,2.83,3757709,23.01137346,415700,Retail Trade
PYPL,NASDAQ,284087957400,242.46,3.15690946,7.42,6767739,88.75462578,23200,Technology Services
BAC,NYSE,281410198700,32.53,-1.0042605,-0.33,44641359,16.24240028,208000,Finance
VZ,NYSE,239181602000,57.8,-1.24722365,-0.73,28411561,13.23938565,135000,Communications
CMCSA,NASDAQ,235812218287.5,51.54,1.73707067,0.88,22140412,22.67884323,190000,Consumer Services
ADBE,NASDAQ,232711686900,485.1,1.54058693,7.36,2266132,44.09270044,,Technology Services
NKE,NYSE,230717848000,146.35,0.96585029,1.4,3950741,82.62083903,75400,Consumer Non-Durables
NFLX,NASDAQ,225492168000,510.4,0.29672424,1.51,2973949,82.21295982,8600,Consumer Services
KO,NYSE,219512724400,51.08,2.24179343,1.12,29673952,25.90883161,86200,Consumer Non-Durables
TM,NYSE,213430000000,152.85,0.11790136,0.18,418079,16.27369049,359542,Consumer Durables
INTC,NASDAQ,211661700000,51.65,-1.03468097,-0.54,34625379,10.235541,110800,Electronic Technology
MRK,NYSE,210068390900,83.03,-1.17829088,-0.99,9125149,18.55811282,71000,Health Technology
ASML,NASDAQ,207416000000,508.74,1.4578306,7.31,734573,56.08523013,24900,Producer Manufacturing
T,NYSE,206796520000,29.02,-2.97559345,-0.89,54736872,19.6996641,246000,Communications
PFE,NYSE,206383392000,37.13,0.18888289,0.07,33462370,23.99948193,88300,Health Technology
NVS,NYSE,205918000000,94.04,0.68522484,0.64,1595619,30.03408579,103914,Health Technology
CRM,NYSE,203166600000,222.04,1.8625562,4.06,7301710,56.94654893,49000,Technology Services
TMO,NYSE,203042420499.99997,512.3,2.392421,11.97,2221795,40.97136353,75000,Health Technology
PEP,NASDAQ,199250992800,144.18,1.20025268,1.71,4312289,28.21858659,267000,Consumer Non-Durables
ABT,NYSE,197813099600,111.61,0.2785265,0.31,4242160,59.00752836,107000,Health Technology
CSCO,NASDAQ,190401480600,45.06,0.22241993,0.1,20936283,18.25638527,77500,Technology Services
ABBV,NYSE,189381966900,107.27,0.52478681,0.56,5345883,22.5664559,30000,Health Technology
ORCL,NYSE,186592621400,63.38,0.49151736,0.31,7751661,19.12603105,135000,Technology Services
AVGO,NASDAQ,180261825640,445.64,0.50745393,2.25,1527347,70.37936508,21000,Electronic Technology
QCOM,NASDAQ,177159839999.99997,156.64,0.60372511,0.94,6252391,34.40883978,41000,Electronic Technology
CVX,NYSE,175333554000,91.08,0.95322545,0.86,11152132,,48200,Energy Minerals
ACN,NYSE,174645421600.00003,264.16,0.36474164,0.96,2010661,32.40461446,506000,Technology Services
DHR,NYSE,172969695730,243.49,1.57690543,3.78,2297374,55.38330022,60000,Health Technology
TMUS,NASDAQ,167635121400,135.06,1.40400931,1.87,2951158,43.54464315,53000,Communications
COST,NASDAQ,163866772700,369.94,0.5490324,2.02,2599696,37.78692986,273000,Retail Trade
MDT,NYSE,161132054200,119.71,0.85088458,1.01,3529887,45.33995416,90000,Health Technology
