Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
AAPL,NASDAQ,2330447632500,138.525,1.20917659,1.655,78177490,41.8972695,147000,Electronic Technology
MSFT,NASDAQ,1717254167500,227.135,0.96235054,2.165,20862356,36.29133731,163000,Technology Services
AMZN,NASDAQ,1655103444905,3298.655,-0.25204189,-8.335,1896404,96.84569655,798000,Retail Trade
GOOG,NASDAQ,1290722271900,1908.15,0.8935889,16.9,806923,37.76533078,118899,Technology Services
GOOGL,NASDAQ,1285202635740,1899.99,0.8406974,15.84,1058210,37.62355478,118899,Technology Services
TSLA,NASDAQ,797345884170,841.17,-0.45207636,-3.82,14449022,1688.62909672,48016,Consumer Durables
FB,NASDAQ,785744543757.42,275.865,1.09759226,2.995,14521056,31.07363291,44942,Technology Services
BABA,NYSE,703466000000,259.96,-0.01538462,-0.04,10026349,37.6598734,117600,Retail Trade
TSM,NYSE,695765000000,129.83,-3.22748956,-4.33,14335266,39.47856281,,Electronic Technology
BRK.A,NYSE,549056671666.6678,351250,-0.77683616,-2750,230,15.68870768,391500,Finance
BRK.B,NYSE,547141812100,233.35,-0.34591732,-0.81,2273872,15.56635444,391500,Finance
V,NYSE,474537785395.2134,203.03,-1.02856586,-2.11,4040947,43.08306206,20500,Finance
JNJ,NYSE,431631258400,163.96,1.37884128,2.23,4989322,25.41286278,132200,Health Technology
WMT,NYSE,415056843000,146.7,1.27718329,1.85,4315072,20.91032452,2200000,Retail Trade
JPM,NYSE,407782709240,133.7782,-0.78009345,-1.0518,8926468,15.16409114,,Finance
NVDA,NASDAQ,341298030000,551.37,-0.6003245,-3.33,4571489,90.66243891,13775,Electronic Technology
UNH,NYSE,330863370910,348.71,-1.77183099,-6.29,1259962,22.14846333,,Health Services
MA,NYSE,328845648833.44,329.86,-1.36945341,-4.58,2268963,50.18984017,18600,Finance
PG,NYSE,321476764000,130.55,-0.35111824,-0.46,3981523,24.76138275,99000,Consumer Non-Durables
DIS,NYSE,313304559400,172.69,0.82321345,1.41,6304703,,203000,Consumer Services
HD,NYSE,305883592000,284.12,1.8168787,5.07,2437583,24.11674214,415700,Retail Trade
PYPL,NASDAQ,294984674400,251.76,1.25482625,3.12,5494120,93.89018956,23200,Technology Services
BAC,NYSE,272976309550,31.555,-0.67673906,-0.215,31118600,15.70362315,208000,Finance
NFLX,NASDAQ,251445415275,569.145,-1.84447434,-10.695,5255479,95.37783334,,Consumer Services
VZ,NYSE,238167769950,57.555,0.49764274,0.285,9739516,12.95437581,135000,Communications
ASML,NASDAQ,236086000000,569.9,-0.14717735,-0.84,623039,58.18178111,,Producer Manufacturing
INTC,NASDAQ,233586000000,57,-8.74159462,-5.46,65998986,12.63886359,,Electronic Technology
ADBE,NASDAQ,226291064000,472.72,0.1482988,0.7,1749598,43.52982404,22516,Technology Services
CMCSA,NASDAQ,223230076256.25,48.79,-0.69204152,-0.34,7541095,21.99391172,190000,Consumer Services
NKE,NYSE,220612611200,139.94,-1.17929525,-1.67,2034048,80.71705426,75400,Consumer Non-Durables
NVS,NYSE,213591000000,96.96,0.08257638,0.08,1943673,31.15312882,103914,Health Technology
TM,NYSE,211570000000,147.91,-2.26641998,-3.43,280813,16.13192061,359542,Consumer Durables
KO,NYSE,209048482350,48.645,-0.62308478,-0.305,8889116,25.38505419,86200,Consumer Non-Durables
CRM,NYSE,206341650000,225.51,1.50335329,3.34,7484108,58.04117248,49000,Technology Services
T,NYSE,205585100000,28.85,0.06937218,0.02,18185019,18.98834222,246000,Communications
MRK,NYSE,205210733300,81.11,-0.08622814,-0.07,5347498,17.93082122,71000,Health Technology
PFE,NYSE,203854319999.99997,36.675,0.53453947,0.195,16459080,23.62388292,88300,Health Technology
TMO,NYSE,203422902100,513.26,0.17565774,0.9,951406,41.95648436,75000,Health Technology
ABT,NYSE,200289795464,113.0074,0.05081895,0.0574,2290087,59.88230304,107000,Health Technology
XOM,NYSE,199910291576.99997,47.2799,-1.72542091,-0.8301,15548021,61.84599563,74900,Energy Minerals
LLY,NYSE,197113286920,206.06,1.83345688,3.71,3750630,33.12434521,33625,Health Technology
ABBV,NYSE,196496811000,111.3,0.03595182,0.04,2200596,23.52866538,30000,Health Technology
PEP,NASDAQ,191746950000,138.75,-0.61600172,-0.86,2005364,27.65211535,267000,Consumer Non-Durables
CSCO,NASDAQ,189514123500,44.85,-0.57636888,-0.26,7733327,18.31729403,77500,Technology Services
AVGO,NASDAQ,188871629425,466.925,0.02249261,0.105,850192,74.0984127,21000,Electronic Technology
QCOM,NASDAQ,183480207300,162.2283,-1.53062215,-2.5217,3238311,36.40883978,41000,Electronic Technology
ORCL,NYSE,177466128400,60.28,-1.51935958,-0.93,6941722,18.56198447,135000,Technology Services
CVX,NYSE,176440457750,91.655,-0.38582763,-0.355,4889655,,48200,Energy Minerals
ACN,NYSE,169237337300,255.98,-0.75986664,-1.96,1249600,31.75701464,506000,Technology Services
DHR,NYSE,168579565870,237.31,1.80609181,4.21,1487194,53.85610646,60000,Health Technology
NEE,NYSE,164943898650,84.195,0.5793812,0.485,3568888,42.25003785,13900,Utilities
TMUS,NASDAQ,162180091350,130.665,0.20322086,0.265,1209858,42.63249093,53000,Communications
COST,NASDAQ,161155888100,363.82,0.28114664,1.02,1266778,37.26108435,273000,Retail Trade
TXN,NASDAQ,159363910620,173.61,-0.85094232,-1.49,1909310,33.08767952,29768,Electronic Technology
MCD,NYSE,158856324000.2,213.1982,-0.155388,-0.3318,1199929,32.59203859,205000,Consumer Services
MDT,NYSE,157161295200,116.76,-0.97532016,-1.15,1484216,45.0381971,90000,Health Technology
PDD,NASDAQ,151017000000,171.56,-0.72333777,-1.25,2922468,,5828,Retail Trade
SAP,NYSE,150871000000,127.84,-0.04691165,-0.06,616464,,,Technology Services
AMGN,NASDAQ,148092150220,254.38,0.93242868,2.35,967139,20.32975454,23400,Health Technology
BMY,NYSE,146759463749.99997,64.945,1.19196011,0.765,4686440,,30000,Health Technology
SHOP,NYSE,145092371482.80002,1190.14,-0.66853065,-8.01,421176,767.79878244,5000,Retail Trade
HON,NYSE,142677322810,203.335,-0.92335429,-1.895,1946300,29.48071536,113000,Producer Manufacturing
UNP,NYSE,140457885015,208.435,0.25733526,0.535,2810400,26.38793694,,Transportation
UPS,NYSE,138200027223.72,159.88,-0.13741412,-0.22,1353468,30.38354241,495000,Transportation
AZN,NASDAQ,137962000000,53.3,1.42721218,0.75,11075064,54.85958868,70600,Health Technology
HDB,NYSE,134828000000,73.83,0.53104575,0.39,626040,32.61535729,116971,Finance
LIN,NYSE,132710092450,252.85,-0.13823065,-0.35,831346,60.26849472,79886,Process Industries
WFC,NYSE,132076283050,31.945,-0.171875,-0.055,15643405,78.70142646,,Finance
CHTR,NASDAQ,130018687500,650.5,0.01076211,0.07,415280,50.96694824,95100,Consumer Services
NVO,NYSE,127966000000,73.13,0.84114727,0.61,607939,27.33509235,43258,Health Technology
C,NYSE,127486983000,61.23,-1.03442702,-0.64,16147422,12.29970975,,Finance
LOW,NYSE,126658497780.00002,172.86,0.30172914,0.52,1976880,24.33630818,320000,Retail Trade
SNE,NYSE,126501000000,101.35,-1.1701609,-1.2,456019,14.6938717,111700,Consumer Durables
PM,NYSE,126392091200,81.16,-0.20902496,-0.17,1253220,16.50331771,73500,Consumer Non-Durables
JD,NASDAQ,125536000000,95.27,0.1787592,0.17,4638348,36.71814672,227730,Retail Trade
SNY,NASDAQ,124733000000,49.975,0.67485898,0.335,2848032,10.17004712,100409,Health Technology
SBUX,NASDAQ,121941561500,103.895,-0.65500096,-0.685,2890362,135.08137432,349000,Consumer Services
RY,NYSE,120149800100.00002,84.43,-1.0547287,-0.9,544022,14.54678321,86000,Finance
MS,NYSE,117169035600,74.31,-0.52208835,-0.39,10463160,11.60622728,,Finance
TOT,NYSE,116163000000,44.315,0.28286943,0.125,1840452,,107776,Energy Minerals
HSBC,NYSE,115896000000,27.88,-2.00351494,-0.57,913527,,235000,Finance
BA,NYSE,115793570950,205.115,-1.10650403,-2.295,5582658,,161100,Electronic Technology
BLK,NYSE,112092534780,734.98,-0.97278362,-7.22,320112,23.27251291,,Finance
ZM,NASDAQ,111779063345.7,382.95,0.03657167,0.14,2183002,267.32541899,2532,Technology Services
BUD,NYSE,111558000000,66.775,-1.52632355,-1.035,949087,,171915,Consumer Non-Durables
AMD,NASDAQ,110769591000,92.1,0.62274664,0.57,56435225,126.35284373,11400,Electronic Technology
ABNB,NASDAQ,106654251825.34,179.78,-0.34368071,-0.62,5677233,,,Technology Services
BHP,NYSE,106528000000,71.77,-0.77422923,-0.56,1701661,23.05926611,,Non-Energy Minerals
NOW,NYSE,105693474000,541.74,-0.4758143,-2.59,694002,154.04403441,10371,Technology Services
IBM,NYSE,105634718244.29997,118.5499,-9.95070262,-13.1001,31304870,14.90534849,383800,Technology Services
SCHW,NYSE,105586087500,58.75,0.08517888,0.05,2742856,27.84101688,,Finance
TD,NYSE,105141396000,57.91,-1.78086839,-1.05,629506,12.24159766,,Finance
CAT,NYSE,104636923380,192.61,0.21853374,0.42,1167944,31.92684021,102300,Producer Manufacturing
INTU,NASDAQ,103220796130,376.655,-1.33464309,-5.095,623659,51.25605875,10600,Technology Services
RTX,NYSE,103029964800,67.84,-0.39641756,-0.27,2703806,,243200,Electronic Technology
RIO,NYSE,102664000000,81.33,-1.2865639,-1.06,924367,18.63563367,46007,Non-Energy Minerals
AXP,NYSE,101254151500,125.75,-1.31837087,-1.68,1638884,31.48207624,64500,Finance
UBER,NYSE,100730321200,54.41,-2.47356157,-1.38,9989132,,26900,Technology Services
SQ,NYSE,99657038988,221,0.62835807,1.38,5199756,359.62010807,3835,Technology Services
GS,NYSE,99538872400,289.3,-0.02419048,-0.07,1758181,11.70268696,,Finance
AMT,NYSE,98704100000,224.16,0.88208821,1.96,1233572,52.47868496,5454,Finance
MMM,NYSE,98100117540,170.07,-0.35155563,-0.6,1351475,20.00351617,96163,Producer Manufacturing
GE,NYSE,97760149200,11.16,0.81300813,0.09,34944449,26.4769194,205000,Electronic Technology
AMAT,NASDAQ,97679369520,106.83,-1.05584885,-1.14,3670815,27.54055709,24000,Producer Manufacturing
